state_id,state_name,date,day,total_positive,positive_per_100k,positive_increase,positive_increase_per_100k,population_18_plus
CA,California,2020-07-06,6,271684,887.3463619694070,5699,18.6134881585358,30617582
CO,Colorado,2020-07-06,6,34257,761.3991501187873,192,4.2674091958667,4499217
CT,Connecticut,2020-07-06,6,46976,1655.3394175232139,259,9.1266372006666,2837847
DC,Delaware,2020-07-06,6,10515,1365.2439911087106,33,4.2846459064753,770192
DE,District of Columbia,2020-07-06,6,12293,2128.3594855093918,165,28.5674217122793,577581
FL,Florida,2020-07-06,6,202623,1174.7753685569784,6237,36.1611168213375,17247808
GA,Georgia,2020-07-06,6,97064,1196.3209163149707,1548,19.0792134927015,8113542
HI,Hawaii,2020-07-06,6,1023,91.6663381134835,24,2.1505299264160,1116004
IA,Iowa,2020-07-06,6,31657,1303.7073521484176,304,12.5194122959573,2428229
ID,Idaho,2020-07-06,6,7733,577.5792014722929,363,27.1125371957122,1338864
IL,Illinois,2020-07-06,6,148987,1511.9526735786861,614,6.2310063399982,9853946
IN,Indiana,2020-07-06,6,48331,935.8773644550171,323,6.2545444687462,5164245
KS,Kansas,2020-07-06,6,16901,763.6923288255559,982,44.3728694696584,2213064
KY,Kentucky,2020-07-06,6,17152,495.0355027502293,776,22.3966622046512,3464802
LA,Louisiana,2020-07-06,6,66327,1862.5089998663358,1101,30.9168575218664,3561164
MA,Massachusetts,2020-07-06,6,110137,1988.1390753258794,163,2.9423960093167,5539703
MD,Maryland,2020-07-06,6,69904,1483.8485219570481,272,5.7737296574204,4710993
ME,Maine,2020-07-06,6,3423,312.4971470827209,8,0.7303468234478,1095370
MI,Michigan,2020-07-06,6,73269,934.2051510380567,328,4.1821137116718,7842924
MN,Minnesota,2020-07-06,6,38569,889.4090246110032,433,9.9850685176324,4336475
MO,Missouri,2020-07-06,6,23856,500.4570110658144,420,8.8108628708770,4766843
MS,Mississippi,2020-07-06,6,31257,1372.3861350230904,357,15.6746280898117,2277566
MT,Montana,2020-07-06,6,1249,148.6568514264631,37,4.4037658148752,840190
NC,North Carolina,2020-07-06,6,74529,910.2924272742562,1546,18.8827448720096,8187369
ND,North Dakota,2020-07-06,6,3843,660.4329676863880,33,5.6711652182282,581891
NE,Nebraska,2020-07-06,6,19929,1366.5593752871427,102,6.9942825168994,1458334
NH,New Hampshire,2020-07-06,6,5897,533.9270483802915,40,3.6216859310177,1104458
NJ,New Jersey,2020-07-06,6,173611,2500.2981157357295,209,3.0099608100222,6943612
NM,New Mexico,2020-07-06,6,13507,833.2557059231051,251,15.4843549408973,1620991
NV,Nevada,2020-07-06,6,22909,959.5324347428730,491,20.5652985926383,2387517
NY,New York,2020-07-06,6,397649,2577.9075908078579,518,3.3581277258046,15425262
OH,Ohio,2020-07-06,6,57956,636.1045412723254,805,8.8353950535617,9111081
OK,Oklahoma,2020-07-06,6,16362,544.5408959797759,434,14.4438790401676,3004733
OR,Oregon,2020-07-06,6,10395,310.1897095794759,165,4.9236461838012,3351175
PA,Pennsylvania,2020-07-06,6,90304,888.1740972301998,450,4.4259207095321,10167376
RI,Rhode Island,2020-07-06,6,17163,2007.6830754761565,55,6.4337568694977,854866
SC,South Carolina,2020-07-06,6,46380,1148.7218302472476,1533,37.9687487229200,4037531
SD,South Dakota,2020-07-06,6,7105,1064.3269948079418,42,6.2915881466479,667558
TN,Tennessee,2020-07-06,6,52155,980.5187810095762,724,13.6112663685348,5319123
TX,Texas,2020-07-06,6,200557,928.6735536292690,5318,24.6248495849083,21596071
UT,Utah,2020-07-06,6,25469,1119.6277080712194,517,22.7275324933378,2274774
